Nº trabajo;OFERTA GESTIONA;EXP GESTIONA;TIPO EXP.;FECHA INICIO;FECHA ENTREGA;TECNICO RBLE;T1;SERVICIO ;TIPO SERVICIO;GRUPO;ICA;PPTO. TOTAL (SIN IVA);GASTOS (EST.);HORAS PRESUP (HP);HORAS 2025;HORAS RESTANTES;TOTAL H (2024 + 2025);% HR/HP  AÑO;Tomás;Jokin;Cristian;Belén;Raúl;Ánder;Bryan;Maddie;Iñaki;Javier;M. Ángel;Paula;Pilar;David;J. Antonio;Elena;Laura;Hacomar;T2;T3;PEDIDO;FECHA FINALIZACIÓN;VB CLIE. ;FECHA FACTURACION;Columna1;Nº Fact;;;;
1001;;T26-SIN-37-00047;INTERNO;ene-26;dic-26;;;TRABAJOS INTERNOS;INTERNO;INTERNO;;;; ;;;754,15;;0;55,5;36;65,5;76,5;42;52;3;24,5;60,75;90;0;16,5;39,5;9,5;33;84,5;65,4;;;;;NO;;;;;;;
1002;;T26-SIN-37-00048;INTERNO;ene-26;dic-26;;;GESTIONES Y ACCIONES COMERCIALES;INTERNO;INTERNO;;;; ;;;223,35;;0;47;17;53;15;8;7,75;0;12,75;18,5;0;0;0;5,5;0;22,5;2;14,35;;;;;NO;;;;;;;
1003;;T26-SIN-41-00049;INTERNO;ene-26;dic-26;;;FORMACION INTERNA   ;INTERNO;INTERNO;;;  ; ;;;159,95;;0;4;0;4,5;3;0,5;12;0;8,5;23,5;0;0;13;6;1;14,5;40,2;29,25;;;;;NO;;;;;;;
1004;;T26-SIN-42-00050;INTERNO;ene-26;dic-26;;;FORMACION EXTERNA;INTERNO;INTERNO;;;  ; ;;;136,5;;0;0;19;0;7,5;0;0;18,5;0;11,25;0;0;15;14;15,75;12;0;23,5;;;;;NO;;;;;;;
1005;;T26-SIN-43-00051;INTERNO;ene-26;dic-26;;;BOLSA DE HORAS;INTERNO;INTERNO;;;  ; ;;;259,5;;0;42,5;0;3,5;0;24,5;34;0;9;47;0;0;3,5;35;0;32;21,5;7;;;;;NO;;;;;;;
1006;;T26-SIN-30-00052;INTERNO;ene-26;dic-26;;;VACACIONES SIN 2026;INTERNO;INTERNO;;;  ; ;;;666;;0;23,5;125,5;15;72,5;17;121,5;22,5;15;34;0;0;15;0;67;17;46;74,5;;;;;NO;;;;;;;
1007;;T26-SIN-31-00053;INTERNO;ene-26;dic-26;;;ASUNTOS PROPIOS, BAJA, PERMISO;INTERNO;INTERNO;;;  ; ;;;129;;0;46;0;0;49;0;0;0;0;0;34;0;0;0;0;0;0;0;;;;;NO;;;;;;;
1008;;T26-SIN-00-00054;INTERNO;ene-26;dic-26;;;ESTRUCTURA MADRID;INTERNO;INTERNO;;;  ; ;;;18;;0;0;7,25;0;0;0;1,5;0;0;0;0;0;0;0;1,5;0;0;7,75;;;;;NO;;;;;;;
1009;;T26-SIN-00-00055;INTERNO;ene-26;dic-26;;;ESTRUCTURA NAVARRA;INTERNO;INTERNO;;;  ; ;;;9,5;;0;0;0;0;0;0;8,5;0;0;0;0;0;0;0;1;0;0;0;;;;;NO;;;;;;;
1010;;T24-EST-00-01981;INTERNO;ene-26;dic-26;;;REPRESENTACION SINDICAL;INTERNO;INTERNO;;;  ; ;;;10,5;;0;9;0;0;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
1011;;T26-SIN-38-00047;INTERNO;ene-26;dic-26;;;DESARROLLO PLANES DE AUTOPROTECCIÓN;INTERNO;INTERNO;;;  ; ;;;85;;0;3;0;0;9,5;3;0;0;0;0;35,5;0;0;0;0;0;0;34;;;;;NO;;;;;;;
1012;;T26-SIN-38-00047;INTERNO;ene-26;dic-26;;;DESARROLLO SEVESO;INTERNO;INTERNO;;;  ; ;;;30,25;;0;1;0;0;0;0;0,25;0;0;0;0;0;0;0;0;0;29;0;;;;;NO;;;;;;;
