estado;num_gestiona;pertenece_a_licitacion;es_licitacion;fecha_oferta;agente_comercial;oficina;tipo_servicio;grupo;cliente;objeto;origen;comentarios;;presupuesto_total;gastos_estimados;tecnico_t1;fin_licitacion;ingresos_2026;ingresos_2027;ingresos_2028;ingresos_2029;ingresos_2030
ACEPTADO;T OV-20150018;;;08/01/2015;IMR;NAVARRA;AUTOPROTECCION;GOBIERNO DE NAVARRA;DEPARTAMENTO DE EDUCACION;PAU CP CASCANTE;CLIENTE ANTIGUO;;;1.710,00 €;150;;;;;;;
ACEPTADO;T OV-20150019;;;08/01/2015;IMR;NAVARRA;AUTOPROTECCION;SCPSA;SCPSA;AUTOPROTECCION 2015-2018;CLIENTE ANTIGUO;ES UN CONTRATO DE 4 AÑOS - REPARTIDO POR IGUAL EN LOS 4 AÑOS;;16.625,00 €;;;;;;;;
ACEPTADO;T OV-20150023;;;09/01/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL ANDALUCIA;AUTOPROTECCION 2015 CO MALAGA;CLIENTE ANTIGUO;;;6.791,00 €;1306;;;;;;;
RECHAZADO;T OV-20150024;;;09/01/2015;IMR;NAVARRA;AUTOPROTECCION;CANAL ISABEL II GESTION;CANAL ISABEL II GESTION;PAU 10 EDAR;CLIENTE ANTIGUO;;;5.800,00 €;580;;;;;;;
ACEPTADO;T OV-2023574;;;12/01/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PA GNL NOMWOVENS;CLIENTE ANTIGUO;;;2.287,00 €;128;;;;;;;
ACEPTADO;T OV-20150030;;;12/01/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PA GNL LEVANTINA PLANTAS 1 Y 3;CLIENTE ANTIGUO;;;2.190,00 €;31;;;;;;;
ACEPTADO;T OV-20150031;;;12/01/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PA GNL LEVANTINA PLANTA 2;CLIENTE ANTIGUO;;;2.159,00 €;0;;;;;;;
ACEPTADO;T OV-20150032;;;12/01/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PA GNL LEVANTINA PLANTA 4;CLIENTE ANTIGUO;;;2.159,00 €;0;;;;;;;
ACEPTADO;T OV-20150033;;;12/01/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PA GNL CONSERVAS HOLA;CLIENTE ANTIGUO;;;2.287,00 €;128;;;;;;;
ACEPTADO;T OV-20150034;;;12/01/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PA GNL MANUEL MATEO CANDEL;CLIENTE ANTIGUO;;;2.159,00 €;0;;;;;;;
RECHAZADO;T OV-20150037;;;13/01/2015;IMR;NAVARRA;AUTOPROTECCION;CRISERGAS;CRISERGAS;PRECIOS UNITARIOS AUTOPROTECCION 2015;CLIENTE ANTIGUO;Oferta informativa;;1.575,00 €;250;;;;;;;
RECHAZADO;T OV-20150040;;;13/01/2015;IMR;NAVARRA;AUTOPROTECCION;SIMA;SIMA;PRECIOS UNITARIOS AUTOPROTECCION 2015;CLIENTE ANTIGUO;Oferta informativa;;1.575,00 €;250;;;;;;;
ACEPTADO;T OV-20150042;;;13/01/2015;IMR;NAVARRA;AUTOPROTECCION;GOBIERNO DE NAVARRA;OSASUNBIDEA;AUTOPROTECCION 2015;CLIENTE ANTIGUO;;;6.115,00 €;200;;;;;;;
ACEPTADO;T OV-20150044;;;13/01/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PA GNL ONDULADOS ANDALUCES;CLIENTE ANTIGUO;;;2.780,00 €;621;;;;;;;
RECHAZADO;T OV-20150055;;;14/01/2015;IMR;NAVARRA;CSTMP;CIUDEN;CIUDEN;CONSEJERO CIUDEN AÑO 2015;CLIENTE ANTIGUO;;;3.200,00 €;500;;;;;;;
ACEPTADO;T OV-20150058;;;14/01/2015;IMR;NAVARRA;AUTOPROTECCION;GOBIERNO DE NAVARRA;ARCHIVO REAL Y GENERAL;PA ARCHIVO REAL;CLIENTE ANTIGUO;;;1.675,00 €;0;;;;;;;
RECHAZADO;T OV-20150065;;;16/01/2015;IMR;NAVARRA;ATEX;IMQ PREVENCION;SALVA INDUSTRIAL;DPCEx SALVA INDUSTRIAL;IMQ;;;1.265,00 €;80;;;;;;;
RECHAZADO;T OV-20150084;;;19/01/2015;RHL;NAVARRA;RIESGOS;HUNTSMAN;HUNTSMAN;SIL 1  LAZO HUNTSMAN;CLIENTE NUEVO;;;1.580,00 €;0;;;;;;;
ACEPTADO;T OV-20150088;;;19/01/2015;IMR;NAVARRA;ATEX;KAIKU CORPORACION ALIMENTARIA;LACTEOS DE NAVARRA;ASESORAMIENTO ATEX;CLIENTE NUEVO;enviado email 3/3/2015;;800,00 €;0;;;;;;;
ACEPTADO;T OV-20150113;;;23/01/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PA GNC EL ESCORIAL;CLIENTE ANTIGUO;;;2.691,00 €;271;;;;;;;
ACEPTADO;T OV-20150115;;;23/01/2015;IMR;NAVARRA;ATEX;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;DPCEx GNC EL ESCORIAL;CLIENTE ANTIGUO;;;1.550,00 €;0;;;;;;;
ACEPTADO;T OV-20150119;;;26/01/2015;IMR;NAVARRA;SEVESO;CEPSA;CEPSA COMERCIAL PETROLEO;REV PEI GLP CARTAGENA;CLIENTE ANTIGUO;;;1.675,00 €;0;;;;;;;
ACEPTADO;T OV-20150124;;;26/01/2015;RHL;NAVARRA;RIESGOS;CERNEY;CERNEY;CERNEY ENDESA;CLIENTE ANTIGUO;;;3.520,00 €;0;;;;;;;
ACEPTADO;T OV-20150132;;;27/01/2015;IMR;NAVARRA;AUTOPROTECCION;HAM;HAM;REV PA HAM GNL YUDIGAR;CLIENTE ANTIGUO;;;1.950,00 €;150;;;;;;;
ACEPTADO;T OV-20150151;;;29/01/2015;IMR;NAVARRA;CSTMP;ACCIONA;ACCIONA ENERGIA;CS TERMOSOLAR ALVARADO AE;CLIENTE ANTIGUO;;;1.500,00 €;;;;;;;;
ACEPTADO;T OV-20150152;;;29/01/2015;IMR;NAVARRA;CSTMP;ACCIONA;TERMOSOLAR ALVARADO;CS TERMOSOLAR ALVARADO SV;CLIENTE ANTIGUO;;;816,00 €;;;;;;;;
